difference_accuracy,difference_format_valid_rate,difference_macro_f1,difference_macro_precision,difference_macro_recall,difference_no_trace_f1,difference_rationale_lexical_token_f1,difference_rationale_present_rate,difference_rationale_rouge_l_f1,difference_trace_f1,difference_weighted_f1,exp17_accuracy,exp17_format_valid_rate,exp17_macro_f1,exp17_macro_precision,exp17_macro_recall,exp17_no_trace_f1,exp17_rationale_lexical_token_f1,exp17_rationale_present_rate,exp17_rationale_rouge_l_f1,exp17_trace_f1,exp17_weighted_f1,exp18_accuracy,exp18_format_valid_rate,exp18_macro_f1,exp18_macro_precision,exp18_macro_recall,exp18_no_trace_f1,exp18_rationale_lexical_token_f1,exp18_rationale_present_rate,exp18_rationale_rouge_l_f1,exp18_trace_f1,exp18_weighted_f1,fold
-0.015873015873015928,0.0,-0.01635372022791226,-0.017690026605945208,-0.015428504890544925,-0.013480159483576948,-0.004914777545235616,0.0,-0.004415329637156407,-0.019227280972247462,-0.015791171299127105,0.8941798941798942,1.0,0.8889541715628673,0.8931623931623931,0.8856544014904517,0.9130434782608695,0.6325913133536311,1.0,0.5012992437714476,0.8648648648648649,0.8936700675831111,0.8783068783068783,1.0,0.872600451334955,0.8754723665564479,0.8702258965999068,0.8995633187772926,0.6276765358083954,1.0,0.4968839141342912,0.8456375838926175,0.877878896283984,fold_01
0.005291005291005346,0.0,0.005301859825530664,0.006588655531735377,0.004424778761061954,0.004708562749193179,-0.00032105357019773795,0.0,0.0017711482830223835,0.005895156901868148,0.005185711720639308,0.8994708994708994,1.0,0.8947568945810498,0.8977916863486065,0.8922333488588728,0.9170305676855894,0.6315589163414865,1.0,0.5035192633110834,0.8724832214765101,0.8991173491041606,0.9047619047619048,1.0,0.9000587544065805,0.9043803418803419,0.8966581276199348,0.9217391304347826,0.6312378627712888,1.0,0.5052904115941058,0.8783783783783783,0.9043030608247999,fold_02
0.0,0.0,-0.0006517257029952095,0.0022313010956922508,-0.002154168607359064,0.0008546532151683106,-0.001922170971002557,0.0,-0.005614000398227237,-0.0021581046211587296,-0.0003568261264237371,0.8783068783068783,1.0,0.8719851576994435,0.8772976844115541,0.8680717279925477,0.9004329004329005,0.6344093411490633,1.0,0.5014992634920546,0.8435374149659864,0.8775542925202791,0.8783068783068783,1.0,0.8713334319964483,0.8795289855072463,0.8659175593851887,0.9012875536480688,0.6324871701780608,1.0,0.4958852630938274,0.8413793103448277,0.8771974663938553,fold_03
0.005291005291005346,0.0,0.005303524297469386,0.006126035119980111,0.004424778761061954,0.0047590953785644485,-0.0016437613335066326,0.0,0.0007261937887044212,0.005847953216374324,0.005196942974720731,0.91005291005291,1.0,0.9066666666666666,0.9058441558441559,0.907545412203074,0.9244444444444444,0.6337019351422265,1.0,0.505678296378829,0.8888888888888888,0.9101469723691946,0.9153439153439153,1.0,0.911970190964136,0.911970190964136,0.911970190964136,0.9292035398230089,0.6320581738087199,1.0,0.5064044901675334,0.8947368421052632,0.9153439153439153,fold_04
-0.015873015873015928,0.0,-0.017085131180875957,-0.015616065809289648,-0.0175826734979041,-0.012511365702855048,-0.00271776367197063,0.0,1.052840238169317e-05,-0.021658896658896643,-0.01618973793914702,0.9259259259259259,1.0,0.921474358974359,0.9324866310160428,0.9143572426641826,0.9401709401709402,0.6379878425170492,1.0,0.515735738848126,0.9027777777777778,0.9251345362456475,0.91005291005291,1.0,0.9043892277934831,0.9168705652067531,0.8967745691662785,0.9276595744680851,0.6352700788450786,1.0,0.5157462672505077,0.8811188811188811,0.9089447983065004,fold_05
0.0,0.0,0.0,0.0,0.0,0.0,0.0029032642601301006,0.0,0.0023184190936509363,0.0,0.0,0.9312169312169312,1.0,0.927991559450192,0.9312706660368446,0.9252445272473219,0.943231441048035,0.6509558556673164,1.0,0.5219304186579522,0.912751677852349,0.9309750283344259,0.9312169312169312,1.0,0.927991559450192,0.9312706660368446,0.9252445272473219,0.943231441048035,0.6538591199274465,1.0,0.5242488377516031,0.912751677852349,0.9309750283344259,fold_06
0.005291005291005235,0.0,0.005224980204903251,0.006079801273094376,0.004424778761062065,0.004873104362403069,0.003367639405006173,0.0,0.0057794041576393895,0.005576856047403322,0.0051560944579587265,0.873015873015873,1.0,0.8679552864462039,0.8679552864462039,0.8679552864462039,0.8938053097345132,0.6305768303452887,1.0,0.4957345123157321,0.8421052631578947,0.873015873015873,0.8783068783068783,1.0,0.8731802666511072,0.8740350877192983,0.872380065207266,0.8986784140969163,0.6339444697502948,1.0,0.5015139164733715,0.847682119205298,0.8781719674738317,fold_07
0.010638297872340385,0.0,0.011043233082706827,0.01099801099801101,0.011091445427728663,0.008928571428571397,0.0029810857747620823,0.0,-0.0009751312735420958,0.013157894736842257,0.010615801471764663,0.9148936170212766,1.0,0.9116541353383458,0.91002691002691,0.9135103244837758,0.9285714285714286,0.6400677210183766,1.0,0.5231246228654928,0.894736842105263,0.9150735882258838,0.925531914893617,1.0,0.9226973684210527,0.9210249210249211,0.9246017699115044,0.9375,0.6430488067931387,1.0,0.5221494915919507,0.9078947368421053,0.9256893896976485,fold_08
0.015957446808510634,0.0,0.016618225649235763,0.01869617033935822,0.015516224188790506,0.013242360881845827,0.0031781085876566584,0.0,0.00354360561314504,0.0199940904166257,0.015935870004763375,0.8776595744680851,1.0,0.8702241964044539,0.8786764705882353,0.8646017699115045,0.9012875536480688,0.6227806882684788,1.0,0.4952431985318661,0.8391608391608392,0.8765029601026314,0.8936170212765957,1.0,0.8868424220536897,0.8973726409275935,0.880117994100295,0.9145299145299146,0.6259587968561354,1.0,0.49878680414501114,0.8591549295774649,0.8924388301073948,fold_09
0.005319148936170137,0.0,0.004775873817351561,0.007541355622528667,0.002182890855457198,0.0056140350877192935,0.0017896238965692257,0.0,-0.0005152522672330351,0.00393771254698394,0.004945289393276986,0.8882978723404256,1.0,0.8837969094922737,0.8829887218045113,0.884660766961652,0.9066666666666666,0.639942406650626,1.0,0.5173965051462978,0.8609271523178809,0.8884195199849702,0.8936170212765957,1.0,0.8885727833096253,0.8905300774270399,0.8868436578171092,0.9122807017543859,0.6417320305471952,1.0,0.5168812528790647,0.8648648648648648,0.8933648093782471,fold_10
